DEPTH;CAL;DEN;DTC;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2244,7256;12,2861;2,6629;59,6769;17,7795;0,0971;0,0052;0,0013;0,0268;0,0621;4,8579;21,1618;16,03409958
2244,878;12,2955;2,6571;63,3211;19,9992;0,0895;0,0052;0,0017;0,0207;0,0736;4,8238;21,9723;17,27140045
2245,0304;12,3116;2,6247;68,6758;19,5784;0,1077;0,0036;0,001;0,0205;0,0859;4,5873;15,093;15,13589954
2245,1828;12,34;2,591;72,4674;20,2086;0,158;0,0019;0,0004;0,0206;0,098;4,3872;9,6869;9,174900055
2245,3352;12,3605;2,5764;73,0314;20,2009;0,21;0,0053;0,0029;0,0235;0,0952;4,3477;7,0735;6,739299774
2245,4876;12,3673;2,577;70,3003;19,9836;0,1895;0,0093;0,0069;0,0248;0,0791;4,432;6,5893;6,000500202
2245,64;12,3653;2,583;70,1236;18,6014;0,1399;0,0082;0,0045;0,027;0,0718;4,4659;6,7793;6,371399879
2245,7924;12,3647;2,5798;70,4105;17,9786;0,1567;0,0069;0,0031;0,0264;0,073;4,4501;6,2751;6,667099953
2245,9448;12,3636;2,5813;70,7665;19,1963;0,1584;0,0056;0,0021;0,0256;0,0752;4,4244;5,0425;5,091300011
2246,0972;12,3998;2,5902;68,6864;18,8824;0,1695;0,002;0,0003;0,025;0,0779;4,4377;4,5006;4,377099991
2246,2496;12,3613;2,6066;66,3061;18,9692;0,1489;0,0011;1,00E-04;0,0247;0,0779;4,4464;5,7417;5,928599834
2246,402;12,3637;2,6118;64,7089;17,0628;0,1107;0,0008;0;0,0245;0,0774;4,4864;7,9886;8,275099754
2246,5544;12,4313;2,6072;66,6159;16,8092;0,1062;0,0007;0;0,0253;0,0736;4,5159;11,432;9,05189991
2246,7068;12,4462;2,5944;71,4245;15,7581;0,12;0,0006;0;0,0261;0,0696;4,5276;7,9839;7,423399925
2246,8592;12,4679;2,5843;73,3669;16,8164;0,1679;0,0021;0,0002;0,0272;0,0703;4,4801;5,4377;5,180699825
2247,0116;12,4768;2,5937;73,6493;16,6689;0,1948;0,003;0,0005;0,0279;0,0752;4,4462;4,5723;4,570499897
2247,164;12,448;2,6074;70,8885;16,4783;0,187;0,0018;0,0003;0,0305;0,0891;4,3857;6,7779;6,709199905
2247,3164;12,4247;2,6178;68,6022;15,5625;0,182;0,001;1,00E-04;0,0308;0,0967;4,2734;10,3392;11,27449989
2247,4688;12,426;2,6103;68,7024;15,6703;0,1624;0,0014;0,0002;0,0276;0,0921;4,1655;12,4147;12,48509979
2247,6212;12,4211;2,6031;68,3319;16,5527;0,1679;0,0021;0,0003;0,0242;0,0849;4,0961;12,6108;13,00399971
2247,7736;12,4358;2,6075;67,7721;17,9975;0,15;0,003;0,0006;0,0216;0,0769;4,1007;13,1902;13,31260014
2247,926;12,4303;2,6089;65,7129;19,1432;0,1392;0,0042;0,0011;0,0197;0,0738;4,1833;13,8592;13,88829994
2248,0784;12,4428;2,6248;63,04;19,5113;0,1467;0,0043;0,001;0,02;0,0692;4,4075;13,8397;14,29329967
2248,2308;12,4369;2,6404;60,9242;19,3495;0,1117;0,0034;0,0005;0,0213;0,0648;4,6421;13,9827;13,49510002
2248,3832;12,373;2,6403;61,9425;19,8572;0,0797;0,003;0,0004;0,0224;0,0622;4,6767;12,3603;11,61260033
2248,5356;12,3611;2,6147;65,8805;20,2434;0,0976;0,0042;0,0009;0,0237;0,0672;4,5316;7,7614;7,582900047
2248,688;12,3637;2,5874;68,8505;20,3362;0,142;0,006;0,0023;0,0281;0,0737;4,3603;5,6906;5,483500004
2248,8404;12,3805;2,5837;71,1174;19,9353;0,1742;0,0068;0,0032;0,031;0,0764;4,3046;5,4253;5,349100113
2248,9928;12,3757;2,5893;71,3641;22,0523;0,1549;0,007;0,0036;0,0323;0,0776;4,2735;5,3276;4,987500191
2249,1452;12,3176;2,592;70,7656;24,8153;0,1484;0,007;0,004;0,0326;0,0825;4,1963;5,0061;4,532100201
2249,2976;12,2822;2,5881;72,2677;28,8888;0,1606;0,0057;0,0028;0,0315;0,0879;4,1081;4,8882;4,45720005
2249,45;12,2974;2,5902;72,6163;31,9537;0,1545;0,0028;0,0006;0,0287;0,0851;4,0351;4,7464;4,472599983
2249,6024;12,2948;2,5908;72,4587;33,7833;0,1728;0,0012;1,00E-04;0,0266;0,0816;4,0625;4,7319;4,53910017
2249,7548;12,2651;2,5974;71,5346;32,6301;0,1958;0,0008;0;0,0255;0,0821;4,1458;5,5334;5,251299858
2249,9072;12,2728;2,6016;70,0241;31,5403;0,1648;0,0005;0;0,0245;0,0825;4,2532;6,9408;6,628799915
2250,0596;12,2854;2,6059;69,5921;30,5403;0,1454;0,0002;0;0,0234;0,083;4,2851;7,2833;7,151000023
2250,212;12,2936;2,5982;69,6372;29,8109;0,1617;0,0008;0;0,0215;0,0817;4,3174;6,7261;6,667600155
2250,3644;12,2796;2,5955;69,6959;28,4752;0,1672;0,0017;0,0002;0,0192;0,0798;4,335;6,0421;6,315700054
2250,5168;12,2763;2,6004;70,2234;27,5132;0,1515;0,0028;0,0005;0,0242;0,0802;4,3419;5,0639;5,504600048
2250,6692;12,2677;2,6163;71,6389;28,2238;0,1369;0,0021;0,0003;0,0275;0,0786;4,2431;3,8378;4,334599972
2250,8216;12,2638;2,6139;73,2169;27,8348;0,1677;0,0017;0,0002;0,0286;0,0831;4,0726;3,3494;3,695800066
2250,974;12,275;2,5963;73,8071;27,164;0,1742;0,0015;0,0002;0,0285;0,0932;3,8918;3,8586;4,433899879
2251,1264;12,2758;2,5738;73,5779;23,8257;0,1885;0,0011;1,00E-04;0,0307;0,1009;3,7407;5,0689;5,960599899
2251,2788;12,2843;2,5592;74,0507;21,2349;0,2037;0,001;1,00E-04;0,0341;0,1048;3,6848;6,0691;6,716400146
2251,4312;12,2816;2,5532;75,2401;20,0769;0,212;0,0008;1,00E-04;0,0359;0,1042;3,7339;6,3949;7,042099953
