DEPTH;CAL;DEN;DTC;DTS;GR;NEU;nmrFF;nmrPerm;nmrPhie;nmrPhiT;PE;RES10;RES90
2286,2505;8,5398;2,5729;61,1818;102;20,4466;0,0952;0,0805;25,8333;0,0946;0,0946;5,0089;398,725;302,2151
2286,4029;8,5417;2,5745;60,8182;103,4545;19,8526;0,1028;0,085;31,6374;0,1002;0,1002;4,938;365,8275;326,5231
2286,5553;8,5605;2,5687;61,4545;105,6364;18,0373;0,1097;0,0927;39,7131;0,1107;0,1107;4,8767;353,4264;414,8619
2286,7077;8,5793;2,5538;61,6364;106;16,5155;0,1214;0,099;49,6373;0,1188;0,1188;4,9086;288,2116;394,1967
2286,8601;8,6106;2,5383;62,4545;108;16,0063;0,1403;0,1045;65,0898;0,1245;0,1246;4,9834;264,378;298,0409
2287,0125;8,6544;2,5294;62,6364;108,8182;16,8185;0,1582;0,1062;69,2112;0,1262;0,1267;4,987;217,0924;293,5989
2287,1649;8,6665;2,5253;63;110;17,1538;0,1525;0,108;55,0439;0,1289;0,1341;4,8881;217,9574;365,7994
2287,3173;8,6088;2,5243;63;108,8182;18,3419;0,1364;0,1103;48,645;0,1344;0,1423;4,738;211,3144;341,8261
2287,4697;8,5878;2,5165;62,8182;109,5455;17,6477;0,1367;0,1133;55,0901;0,1392;0,1457;4,6789;236,6094;399,0359
2287,6221;8,5559;2,5006;64,0909;111,4545;17,8693;0,1539;0,1169;68,4262;0,1435;0,1477;4,7221;193,1534;270,5109
2287,7745;8,5666;2,4816;66;115,1818;17,6102;0,1743;0,1209;97,601;0,1446;0,1476;4,796;129,1127;324,2162
2287,9269;8,5824;2,4653;66,6364;117;17,1859;0,1748;0,1233;150,4813;0,1422;0,1442;4,8407;133,0024;290,3874
2288,0793;8,5985;2,4537;66,7273;117,5455;16,7818;0,1832;0,1203;145,2518;0,1359;0,1398;4,87;130,9737;231,4795
2288,2317;8,6048;2,4533;65,1818;115,4545;15,4285;0,1785;0,1139;88,7822;0,1299;0,1364;4,8553;125,947;186,119
2288,3841;8,6127;2,4663;63,8182;114;15,5941;0,1731;0,107;51,9874;0,1243;0,1334;4,7776;115,5301;196,0158
2288,5365;8,603;2,4952;62,7273;111,1818;17,3771;0,1555;0,087;15,706;0,107;0,117;4,644;121,2152;127,1911
2288,6889;8,6027;2,5287;60,9091;106,8182;19,8328;0,1307;0,0632;3,5368;0,0824;0,0911;4,5222;142,5391;152,9531
2288,8413;8,5887;2,5694;58,8182;101;26,2018;0,0978;0,0461;0,9804;0,0632;0,0669;4,3627;183,0374;329,5284
2288,9937;8,6021;2,6085;56,3636;95;38,3185;0,0664;0,0465;1,2317;0,0614;0,0633;4,1932;232,687;488,9967
2289,1461;8,6255;2,6429;55,8182;92,3636;54,1087;0,0612;0,0501;2,2542;0,0629;0,0635;4,1246;324,1861;611,5053
2289,2985;8,5812;2,654;56,1818;93,1818;57,7325;0,0779;0,0639;9,2273;0,0759;0,076;4,3071;353,781;532,8234
2289,4509;8,5651;2,6445;58;97,3636;46,2259;0,0957;0,0748;19,8849;0,0877;0,0877;4,694;485,9183;621,3876
2289,6033;8,5818;2,621;58,7273;99,3636;29,0833;0,1015;0,0778;20,4154;0,0925;0,0926;5,0617;968,1729;686,0059
2289,7557;8,6112;2,6039;57,8182;99,1818;19,0097;0,0899;0,0777;19,2075;0,093;0,093;5,1894;1790,2498;741,5817
2289,9081;8,5726;2,6052;57,5455;98,5455;15,9667;0,0847;0,0773;18,0374;0,093;0,093;5,1283;1854,209;757,3357
2290,0605;8,5456;2,6021;58,1818;100,1818;15,5424;0,0821;0,0698;8,9585;0,0874;0,0878;5,0704;1179,1418;666,7942
2290,2129;8,5231;2,5926;58,5455;101;16,9002;0,0847;0,055;1,9133;0,0761;0,0811;5,196;698,6317;505,6876
2290,3653;8,5243;2,589;58,9091;99,1818;19,4843;0,0754;0,0412;0,4651;0,0657;0,0775;5,2937;480,9766;358,8028
2290,5177;8,5152;2,6089;57,2727;96;20,6724;0,0602;0,0402;0,4198;0,0657;0,0763;5,2264;291,3142;230,7744
2290,6701;8,5171;2,644;55,5455;92;23,2184;0,0539;0,0407;0,4466;0,0668;0,0755;4,9276;267,5538;208,6219
2290,8225;8,4767;2,6551;55,3636;93;24,6108;0,0609;0,0408;0,4497;0,067;0,0754;4,6058;346,2765;263,3568
2290,9749;8,4724;2,6399;57;96,1818;26,4778;0,077;0,0479;0,9607;0,0728;0,0767;4,4514;436,392;298,0179
2291,1273;8,4593;2,6131;58,1818;99;23,4416;0,0855;0,0565;2,2144;0,078;0,0822;4,4987;515,6259;362,6132
